c1	c2	c3	c4	c5	c6
gene3542	gene3875	gene4200	gene6006	gene4903	gene8909
gene3545	gene3899	gene4208	gene6007	gene4907	gene8939
gene3555	gene3904	gene4209	gene6009	gene4921	gene8941
gene3564	gene3905	gene4210	gene6029	gene4923	gene8946
gene3566	gene3907	gene4223	gene6064	gene4931	gene8960
gene3567	gene3945	gene4234	gene6065	gene4938	gene8974
gene3572	gene3958	gene4238	gene6097	gene4967	gene9029
gene3576	gene3961	gene4241	gene6100	gene4989	gene9032
gene3577	gene3979	gene4243	gene6104	gene4998	gene9074
gene3580	gene3992	gene4245	gene6127	gene5029	gene9112
gene3584	gene4000	gene4246	gene6151	gene5031	gene9153
gene3591	gene4002	gene4253	gene6175	gene5056	gene9158
gene3598	gene4004	gene4271	gene6197	gene5092	gene9160
gene3599	gene4005	gene4276	gene6211	gene5096	gene9164
gene3606	gene4015	gene4280	gene6233	gene5128	gene9196
gene3613	gene4024	gene4282	gene6241	gene5132	gene9208
gene3620	gene4032	gene4307	gene6246	gene5147	gene9237
gene3625	gene4041	gene4310	gene6263	gene5156	gene9248
gene3626	gene4046	gene4311	gene6277	gene5157	gene9287
gene3630	gene4049	gene4312	gene6281	gene5171	gene9288
gene3634	gene4051	gene4315	gene6291	gene5174	gene9321
gene3637	gene4053	gene4347	gene6306	gene5178	gene9327
gene3640	gene4055	gene4350	gene6309	gene5193	gene9366
gene3643	gene4060	gene4369	gene6311	gene5195	gene9382
gene3644	gene4105	gene4371	gene6331	gene5202	gene9388
gene3650	gene4113	gene4379	gene6333	gene5218	gene9398
gene3651	gene4116	gene4384	gene6353	gene5226	gene9404
gene3659	gene4123	gene4388	gene6354	gene5229	gene9461
gene3660	gene4127	gene4392	gene6360	gene5241	gene9466
gene3670	gene4134	gene4393	gene6374	gene5253	gene9583
gene3673	gene4135	gene4418	gene6375	gene5274	gene9628
gene3684	gene4136	gene4424	gene6380	gene5277	gene9695
gene3685	gene4137	gene4436	gene6392	gene5310	gene9699
gene3691	gene4146	gene4438	gene6395	gene5335	gene9704
gene3693	gene4148	gene4456	gene6406	gene5339	gene9716
gene3702	gene4166	gene4470	gene6450	gene5347	gene9744
gene3704	gene4175	gene4480	gene6459	gene5349	gene9747
gene3706	gene4177	gene4491	gene6484	gene5353	gene9762
gene3710	gene4189	gene4494	gene6496	gene5371	gene9780
gene3711	gene4190	gene4500	gene6501	gene5375	gene9837
gene3714	gene4198	gene4501	gene6513	gene5382	gene9845
gene3715	gene4201	gene4506	gene6524	gene5386	gene9857
gene3720	gene4202	gene4507	gene6534	gene5390	gene9891
gene3721	gene4205	gene4511	gene6544	gene5400	gene9907
gene3722	gene4208	gene4538	gene6553	gene5411	gene9921
gene3733	gene4211	gene4541	gene6611	gene5415	gene9978
gene3738	gene4216	gene4562	gene6624	gene5420	gene10033
gene3741	gene4223	gene4566	gene6659	gene5427	gene10055
gene3742	gene4231	gene4580	gene6660	gene5434	gene10074
gene3743	gene4232	gene4581	gene6671	gene5439	gene10107
gene3755	gene4234	gene4611	gene6679	gene5446	gene10154
gene3757	gene4235	gene4638	gene6687	gene5447	gene10169
gene3760	gene4238	gene4643	gene6702	gene5475	gene10206
gene3770	gene4239	gene4645	gene6716	gene5483	gene10238
gene3772	gene4240	gene4676	gene6725	gene5507	gene10241
gene3776	gene4243	gene4700	gene6749	gene5512	gene10250
gene3782	gene4245	gene4712	gene6780	gene5527	gene10252
gene3787	gene4249	gene4722	gene6813	gene5546	gene10272
gene3788	gene4253	gene4736	gene6854	gene5553	gene10276
gene3790	gene4257	gene4788	gene6874	gene5606	gene10298
gene3791	gene4265	gene4800	gene6929	gene5640	gene10301
gene3796	gene4269	gene4810	gene6940	gene5669	gene10314
gene3799	gene4276	gene4813	gene6952	gene5675	gene10356
gene3805	gene4280	gene4816	gene6965	gene5682	gene10364
gene3808	gene4300	gene4823	gene6978	gene5688	gene10395
gene3815	gene4303	gene4844	gene6980	gene5697	gene10416
gene3816	gene4310	gene4856	gene6981	gene5702	gene10436
gene3824	gene4313	gene4870	gene6992	gene5711	gene10463
gene3826	gene4331	gene4874	gene6996	gene5714	gene10500
gene3827	gene4336	gene4878	gene7020	gene5720	gene10520
gene3828	gene4337	gene4895	gene7030	gene5725	gene10524
gene3837	gene4342	gene4912	gene7057	gene5733	gene10550
gene3838	gene4352	gene4921	gene7060	gene5748	gene10628
gene3839	gene4363	gene4923	gene7116	gene5775	gene10636
gene3857	gene4365	gene4925	gene7123	gene5779	gene10642
gene3866	gene4370	gene4943	gene7124	gene5815	gene10664
gene3870	gene4374	gene4947	gene7148	gene5830	gene10684
gene3885	gene4382	gene4950	gene7149	gene5856	gene10692
gene3894	gene4383	gene4967	gene7154	gene5857	gene10693
gene3901	gene4384	gene4989	gene7175	gene5877	gene10723
gene3904	gene4388	gene4996	gene7191	gene5882	gene10767
gene3907	gene4392	gene5013	gene7217	gene5902	gene10788
gene3908	gene4400	gene5031	gene7224	gene5916	gene10798
gene3919	gene4404	gene5045	gene7240	gene5934	gene10809
gene3923	gene4411	gene5058	gene7245	gene5937	gene10818
gene3943	gene4420	gene5089	gene7273	gene5954	gene10820
gene3945	gene4426	gene5109	gene7288	gene5962	gene10832
gene3955	gene4440	gene5144	gene7294	gene5964	gene10850
gene3958	gene4455	gene5147	gene7320	gene5974	gene10908
gene3980	gene4463	gene5150	gene7324	gene5992	gene10911
gene3983	gene4468	gene5155	gene7326	gene5998	gene10920
gene3999	gene4480	gene5156	gene7341	gene6000	gene10965
gene4002	gene4482	gene5168	gene7352	gene6003	gene11006
gene4004	gene4483	gene5172	gene7368	gene6004	gene11030
gene4005	gene4486	gene5174	gene7378	gene6015	gene11038
gene4009	gene4497	gene5200	gene7387	gene6022	gene11080
gene4013	gene4505	gene5201	gene7394	gene6029	gene11132
gene4016	gene4508	gene5218	gene7400	gene6040	gene11135
gene4032	gene4511	gene5219	gene7419	gene6044	gene11147
gene4037	gene4512	gene5240	gene7425	gene6049	gene11175
gene4038	gene4520	gene5247	gene7452	gene6052	gene11208
gene4039	gene4541	gene5255	gene7473	gene6063	gene11323
gene4045	gene4545	gene5318	gene7492	gene6065	gene11343
gene4046	gene4551	gene5330	gene7494	gene6097	gene11395
gene4049	gene4559	gene5335	gene7503	gene6108	gene11408
gene4051	gene4571	gene5344	gene7572	gene6151	gene11411
gene4053	gene4574	gene5349	gene7582	gene6172	gene11437
gene4054	gene4580	gene5356	gene7594	gene6182	gene11440
gene4055	gene4581	gene5357	gene7596	gene6196	gene11456
gene4077	gene4586	gene5364	gene7601	gene6211	gene11470
gene4078	gene4601	gene5375	gene7629	gene6254	gene11483
gene4079	gene4605	gene5382	gene7632	gene6263	gene11502
gene4083	gene4619	gene5392	gene7639	gene6281	gene11508
gene4090	gene4625	gene5400	gene7667	gene6291	gene11511
gene4105	gene4636	gene5410	gene7702	gene6296	gene11516
gene4115	gene4640	gene5433	gene7734	gene6302	gene11520
gene4120	gene4642	gene5446	gene7745	gene6314	gene11521
gene4124	gene4645	gene5475	gene7818	gene6331	gene11537
gene4133	gene4671	gene5511	gene7838	gene6333	gene11546
gene4136	gene4676	gene5512	gene7848	gene6360	gene11570
gene4137	gene4682	gene5513	gene7853	gene6374	gene11573
gene4145	gene4688	gene5521	gene7885	gene6390	gene11593
gene4155	gene4692	gene5541	gene7893	gene6414	gene11598
gene4162	gene4708	gene5546	gene7902	gene6438	gene11601
gene4163	gene4729	gene5553	gene7912	gene6446	gene11634
gene4170	gene4734	gene5577	gene7958	gene6450	gene11640
gene4171	gene4736	gene5585	gene7967	gene6516	gene11645
gene4174	gene4783	gene5606	gene7978	gene6534	gene11710
gene4175	gene4799	gene5629	gene7996	gene6544	gene11719
gene4176	gene4806	gene5640	gene7997	gene6573	gene11737
gene4177	gene4811	gene5641	gene8016	gene6590	gene11753
gene4178	gene4833	gene5644	gene8022	gene6609	gene11759
gene4179	gene4845	gene5666	gene8049	gene6619	gene11834
gene4182	gene4850	gene5669	gene8063	gene6638	gene11840
gene4189	gene4853	gene5682	gene8074	gene6643	gene11845
gene4190	gene4859	gene5689	gene8076	gene6650	gene11936
gene4197	gene4860	gene5702	gene8091	gene6679	gene11960
gene4211	gene4895	gene5720	gene8116	gene6687	gene11971
gene4218	gene4902	gene5744	gene8215	gene6725	gene11981
gene4223	gene4909	gene5765	gene8219	gene6821	gene11997
gene4229	gene4912	gene5775	gene8234	gene6828	gene12011
gene4230	gene4913	gene5779	gene8252	gene6863	gene12017
gene4234	gene4922	gene5810	gene8256	gene6893	gene12022
gene4238	gene4923	gene5813	gene8259	gene6929	gene12027
gene4240	gene4926	gene5830	gene8264	gene6943	gene12035
gene4243	gene4941	gene5856	gene8285	gene6957	gene12042
gene4253	gene4945	gene5869	gene8303	gene6965	gene12082
gene4255	gene4963	gene5876	gene8315	gene6981	gene12094
gene4265	gene4967	gene5884	gene8324	gene7013	gene12105
gene4271	gene4970	gene5934	gene8342	gene7020	gene12131
gene4276	gene4989	gene5953	gene8348	gene7030	gene12166
gene4280	gene4998	gene5954	gene8442	gene7060	gene12206
gene4288	gene4999	gene5956	gene8461	gene7064	gene12217
gene4292	gene5007	gene5964	gene8480	gene7089	gene12218
gene4297	gene5017	gene5980	gene8487	gene7096	gene12226
gene4298	gene5020	gene5992	gene8510	gene7124	gene12231
gene4303	gene5028	gene5998	gene8531	gene7148	gene12268
gene4310	gene5029	gene6000	gene8560	gene7158	gene12271
gene4311	gene5036	gene6002	gene8583	gene7172	gene12284
gene4321	gene5039	gene6017	gene8630	gene7187	gene12295
gene4347	gene5043	gene6029	gene8638	gene7191	gene12356
gene4370	gene5063	gene6047	gene8641	gene7217	gene12370
gene4374	gene5077	gene6049	gene8697	gene7243	gene12376
gene4381	gene5088	gene6052	gene8720	gene7266	gene12396
gene4383	gene5093	gene6063	gene8780	gene7287	gene12404
gene4385	gene5097	gene6064	gene8834	gene7288	gene12411
gene4387	gene5116	gene6065	gene8840	gene7294	gene12414
gene4388	gene5137	gene6097	gene8846	gene7305	gene12429
gene4392	gene5147	gene6107	gene8887	gene7326	gene12446
gene4393	gene5149	gene6151	gene8892	gene7341	gene12477
gene4411	gene5156	gene6152	gene8893	gene7348	gene12480
gene4417	gene5161	gene6177	gene8909	gene7350	gene12489
gene4420	gene5162	gene6180	gene8917	gene7368	gene12513
gene4428	gene5171	gene6186	gene8945	gene7369	gene12534
gene4430	gene5174	gene6191	gene8960	gene7378	gene12547
gene4434	gene5181	gene6192	gene8969	gene7394	gene12551
gene4436	gene5192	gene6211	gene8974	gene7401	gene12619
gene4440	gene5206	gene6215	gene8975	gene7422	gene12652
gene4450	gene5207	gene6245	gene9032	gene7423	gene12677
gene4468	gene5212	gene6254	gene9048	gene7424	gene12707
gene4480	gene5215	gene6263	gene9074	gene7425	gene12736
gene4481	gene5218	gene6281	gene9075	gene7473	gene12738
gene4490	gene5221	gene6291	gene9090	gene7494	gene12743
gene4492	gene5239	gene6302	gene9113	gene7551	gene12746
gene4496	gene5270	gene6309	gene9143	gene7558	gene12757
gene4498	gene5277	gene6323	gene9158	gene7594	gene12769
gene4511	gene5300	gene6331	gene9159	gene7601	gene12822
gene4512	gene5302	gene6333	gene9160	gene7617	gene12851
gene4552	gene5314	gene6335	gene9164	gene7636	gene12873
gene4567	gene5315	gene6360	gene9196	gene7667	gene12885
gene4578	gene5318	gene6361	gene9208	gene7674	
gene4580	gene5321	gene6371	gene9237	gene7692	
gene4586	gene5328	gene6374	gene9239	gene7734	
gene4588	gene5335	gene6375	gene9287	gene7768	
gene4589	gene5339	gene6376	gene9288	gene7845	
gene4595	gene5346	gene6406	gene9321	gene7853	
gene4609	gene5349	gene6407	gene9327	gene7885	
gene4611	gene5357	gene6446	gene9331	gene7893	
gene4615	gene5367	gene6450	gene9364	gene7902	
gene4619	gene5371	gene6474	gene9366	gene7912	
gene4629	gene5382	gene6475	gene9382	gene7978	
gene4661	gene5385	gene6516	gene9398	gene7997	
gene4662	gene5390	gene6534	gene9422	gene8005	
gene4676	gene5400	gene6537	gene9461	gene8016	
gene4677	gene5419	gene6544	gene9482	gene8017	
gene4693	gene5443	gene6550	gene9483	gene8022	
gene4700	gene5446	gene6605	gene9485	gene8048	
gene4714	gene5453	gene6610	gene9583	gene8049	
gene4724	gene5454	gene6661	gene9596	gene8053	
gene4726	gene5467	gene6664	gene9602	gene8059	
gene4727	gene5468	gene6667	gene9613	gene8074	
gene4729	gene5475	gene6671	gene9614	gene8076	
gene4736	gene5486	gene6679	gene9628	gene8103	
gene4739	gene5503	gene6687	gene9629	gene8197	
gene4756	gene5511	gene6689	gene9695	gene8215	
gene4768	gene5512	gene6709	gene9697	gene8219	
gene4783	gene5531	gene6725	gene9717	gene8236	
gene4788	gene5546	gene6795	gene9744	gene8252	
gene4801	gene5556	gene6821	gene9762	gene8259	
gene4806	gene5577	gene6825	gene9777	gene8264	
gene4807	gene5583	gene6866	gene9810	gene8283	
gene4808	gene5585	gene6870	gene9825	gene8285	
gene4822	gene5593	gene6874	gene9845	gene8317	
gene4823	gene5599	gene6876	gene9857	gene8322	
gene4847	gene5602	gene6916	gene9891	gene8324	
gene4849	gene5605	gene6944	gene9907	gene8348	
gene4853	gene5649	gene6974	gene9921	gene8353	
gene4855	gene5651	gene6981	gene9978	gene8368	
gene4856	gene5657	gene6992	gene10029	gene8391	
gene4878	gene5669	gene7005	gene10033	gene8442	
gene4895	gene5682	gene7020	gene10050	gene8480	
gene4921	gene5695	gene7030	gene10055	gene8487	
gene4923	gene5702	gene7055	gene10103	gene8500	
gene4943	gene5706	gene7060	gene10107	gene8508	
gene4948	gene5709	gene7085	gene10154	gene8531	
gene4960	gene5720	gene7136	gene10158	gene8538	
gene4967	gene5725	gene7148	gene10206	gene8580	
gene4980	gene5748	gene7149	gene10231	gene8582	
gene4989	gene5810	gene7154	gene10245	gene8630	
gene4994	gene5811	gene7166	gene10276	gene8638	
gene4999	gene5813	gene7191	gene10298	gene8641	
gene5026	gene5823	gene7217	gene10301	gene8656	
gene5029	gene5833	gene7224	gene10309	gene8668	
gene5045	gene5837	gene7262	gene10314	gene8778	
gene5046	gene5856	gene7266	gene10324	gene8788	
gene5056	gene5877	gene7288	gene10346	gene8791	
gene5084	gene5881	gene7300	gene10356	gene8827	
gene5092	gene5885	gene7305	gene10368	gene8834	
gene5096	gene5891	gene7309	gene10395	gene8840	
gene5120	gene5922	gene7324	gene10406	gene8849	
gene5137	gene5931	gene7327	gene10411	gene8861	
gene5147	gene5932	gene7330	gene10416	gene8866	
gene5156	gene5934	gene7335	gene10424	gene8892	
gene5171	gene5937	gene7341	gene10436	gene8893	
gene5172	gene5950	gene7355	gene10448	gene8897	
gene5179	gene5954	gene7368	gene10452	gene8898	
gene5200	gene5964	gene7393	gene10463	gene8909	
gene5218	gene5974	gene7394	gene10494	gene8939	
gene5227	gene5985	gene7401	gene10500	gene8945	
gene5246	gene5992	gene7419	gene10520	gene8974	
gene5251	gene5998	gene7420	gene10524	gene9010	
gene5267	gene6000	gene7427	gene10550	gene9032	
gene5270	gene6008	gene7452	gene10628	gene9048	
gene5276	gene6009	gene7473	gene10636	gene9061	
gene5282	gene6010	gene7479	gene10640	gene9075	
gene5298	gene6013	gene7494	gene10642	gene9078	
gene5300	gene6017	gene7522	gene10664	gene9083	
gene5309	gene6018	gene7539	gene10669	gene9090	
gene5334	gene6029	gene7546	gene10670	gene9120	
gene5335	gene6041	gene7594	gene10684	gene9158	
gene5349	gene6046	gene7627	gene10692	gene9160	
gene5366	gene6049	gene7635	gene10693	gene9164	
gene5375	gene6052	gene7667	gene10723	gene9189	
gene5382	gene6063	gene7670	gene10767	gene9196	
gene5386	gene6064	gene7687	gene10782	gene9237	
gene5396	gene6065	gene7704	gene10818	gene9284	
gene5400	gene6074	gene7724	gene10850	gene9287	
gene5419	gene6075	gene7734	gene10878	gene9288	
gene5420	gene6084	gene7768	gene10882	gene9321	
gene5427	gene6097	gene7843	gene10904	gene9325	
gene5440	gene6100	gene7853	gene10911	gene9345	
gene5443	gene6101	gene7893	gene10920	gene9366	
gene5444	gene6127	gene7902	gene10952	gene9377	
gene5446	gene6128	gene7912	gene10965	gene9382	
gene5450	gene6151	gene7921	gene11000	gene9398	
gene5459	gene6152	gene7939	gene11024	gene9404	
gene5466	gene6154	gene7975	gene11030	gene9406	
gene5475	gene6192	gene7978	gene11053	gene9463	
gene5507	gene6196	gene7997	gene11080	gene9466	
gene5512	gene6211	gene8005	gene11146	gene9475	
gene5524	gene6232	gene8009	gene11147	gene9493	
gene5525	gene6237	gene8016	gene11152	gene9515	
gene5536	gene6241	gene8017	gene11184	gene9574	
gene5546	gene6263	gene8022	gene11199	gene9583	
gene5553	gene6264	gene8031	gene11208	gene9628	
gene5576	gene6267	gene8047	gene11212	gene9656	
gene5579	gene6281	gene8048	gene11291	gene9704	
gene5580	gene6291	gene8049	gene11303	gene9744	
gene5606	gene6309	gene8070	gene11308	gene9760	
gene5669	gene6328	gene8074	gene11356	gene9762	
gene5682	gene6331	gene8076	gene11380	gene9797	
gene5695	gene6333	gene8185	gene11395	gene9817	
gene5696	gene6343	gene8215	gene11411	gene9818	
gene5702	gene6360	gene8219	gene11417	gene9845	
gene5706	gene6374	gene8252	gene11440	gene9891	
gene5709	gene6384	gene8257	gene11456	gene9907	
gene5720	gene6385	gene8259	gene11466	gene9921	
gene5726	gene6390	gene8264	gene11502	gene9978	
gene5737	gene6404	gene8276	gene11511	gene10055	
gene5754	gene6442	gene8285	gene11515	gene10107	
gene5775	gene6443	gene8297	gene11516	gene10206	
gene5805	gene6446	gene8303	gene11520	gene10231	
gene5810	gene6447	gene8315	gene11521	gene10250	
gene5811	gene6450	gene8324	gene11526	gene10276	
gene5813	gene6482	gene8334	gene11537	gene10285	
gene5823	gene6486	gene8337	gene11552	gene10314	
gene5830	gene6516	gene8348	gene11570	gene10319	
gene5831	gene6534	gene8442	gene11573	gene10356	
gene5851	gene6544	gene8480	gene11580	gene10381	
gene5856	gene6556	gene8487	gene11593	gene10395	
gene5857	gene6590	gene8508	gene11601	gene10416	
gene5863	gene6614	gene8531	gene11609	gene10436	
gene5876	gene6632	gene8563	gene11628	gene10448	
gene5881	gene6669	gene8615	gene11640	gene10452	
gene5885	gene6671	gene8630	gene11645	gene10500	
gene5934	gene6687	gene8638	gene11695	gene10520	
gene5950	gene6721	gene8641	gene11719	gene10529	
gene5954	gene6725	gene8656	gene11753	gene10550	
gene5955	gene6762	gene8672	gene11759	gene10568	
gene5964	gene6778	gene8706	gene11804	gene10577	
gene5992	gene6784	gene8713	gene11834	gene10636	
gene5998	gene6787	gene8771	gene11840	gene10684	
gene6000	gene6797	gene8778	gene11845	gene10692	
gene6009	gene6812	gene8780	gene11955	gene10693	
gene6022	gene6837	gene8782	gene11958	gene10695	
gene6029	gene6840	gene8849	gene11981	gene10705	
gene6046	gene6864	gene8863	gene11997	gene10707	
gene6052	gene6873	gene8879	gene12011	gene10723	
gene6063	gene6887	gene8892	gene12022	gene10766	
gene6065	gene6905	gene8893	gene12035	gene10767	
gene6090	gene6924	gene8896	gene12042	gene10782	
gene6097	gene6929	gene8909	gene12052	gene10818	
gene6127	gene6940	gene8939	gene12081	gene10828	
gene6136	gene6943	gene8945	gene12094	gene10850	
gene6151	gene6959	gene8946	gene12105	gene10911	
gene6196	gene6973	gene8974	gene12118	gene10920	
gene6203	gene6976	gene9032	gene12121	gene10952	
gene6211	gene6981	gene9048	gene12131	gene10965	
gene6231	gene6991	gene9054	gene12206	gene11006	
gene6263	gene7003	gene9081	gene12217	gene11026	
gene6277	gene7015	gene9112	gene12226	gene11053	
gene6281	gene7018	gene9120	gene12285	gene11080	
gene6291	gene7020	gene9153	gene12296	gene11135	
gene6302	gene7023	gene9158	gene12306	gene11139	
gene6309	gene7030	gene9159	gene12356	gene11147	
gene6331	gene7064	gene9160	gene12370	gene11152	
gene6333	gene7069	gene9164	gene12376	gene11208	
gene6354	gene7096	gene9196	gene12396	gene11291	
gene6356	gene7121	gene9237	gene12411	gene11380	
gene6360	gene7124	gene9287	gene12414	gene11395	
gene6382	gene7153	gene9288	gene12429	gene11411	
gene6385	gene7178	gene9321	gene12441	gene11417	
gene6422	gene7191	gene9327	gene12446	gene11423	
gene6428	gene7195	gene9354	gene12477	gene11456	
gene6436	gene7217	gene9366	gene12489	gene11470	
gene6438	gene7233	gene9382	gene12513	gene11472	
gene6440	gene7240	gene9388	gene12534	gene11473	
gene6446	gene7262	gene9398	gene12547	gene11482	
gene6447	gene7266	gene9406	gene12619	gene11483	
gene6450	gene7278	gene9461	gene12651	gene11502	
gene6468	gene7300	gene9466	gene12652	gene11511	
gene6470	gene7303	gene9475	gene12677	gene11520	
gene6507	gene7309	gene9572	gene12707	gene11532	
gene6534	gene7324	gene9583	gene12743	gene11537	
gene6539	gene7326	gene9603	gene12745	gene11570	
gene6544	gene7327	gene9613	gene12747	gene11572	
gene6568	gene7341	gene9628	gene12754	gene11573	
gene6605	gene7348	gene9651	gene12769	gene11578	
gene6615	gene7355	gene9656	gene12783	gene11582	
gene6660	gene7361	gene9694	gene12817	gene11593	
gene6661	gene7368	gene9695	gene12822	gene11616	
gene6671	gene7394	gene9716	gene12860	gene11640	
gene6679	gene7397	gene9744	gene12873	gene11645	
gene6687	gene7406	gene9762	gene12881	gene11737	
gene6697	gene7437	gene9832	gene12886	gene11753	
gene6702	gene7451	gene9837	gene12887	gene11759	
gene6708	gene7452	gene9845		gene11783	
gene6713	gene7454	gene9891		gene11834	
gene6715	gene7463	gene9894		gene11840	
gene6717	gene7476	gene9907		gene11845	
gene6725	gene7494	gene9908		gene11850	
gene6731	gene7495	gene9909		gene11976	
gene6779	gene7511	gene9921		gene11997	
gene6827	gene7522	gene9978		gene12011	
gene6837	gene7550	gene10030		gene12020	
gene6845	gene7560	gene10033		gene12022	
gene6875	gene7568	gene10055		gene12035	
gene6876	gene7583	gene10107		gene12042	
gene6887	gene7594	gene10154		gene12052	
gene6895	gene7604	gene10172		gene12082	
gene6896	gene7613	gene10206		gene12089	
gene6908	gene7625	gene10250		gene12094	
gene6926	gene7658	gene10252		gene12105	
gene6929	gene7670	gene10272		gene12115	
gene6947	gene7684	gene10276		gene12137	
gene6968	gene7691	gene10314		gene12193	
gene6974	gene7712	gene10324		gene12206	
gene6981	gene7734	gene10356		gene12217	
gene6986	gene7742	gene10368		gene12226	
gene6992	gene7763	gene10395		gene12255	
gene7010	gene7792	gene10416		gene12268	
gene7013	gene7831	gene10436		gene12285	
gene7020	gene7838	gene10452		gene12306	
gene7030	gene7853	gene10500		gene12349	
gene7053	gene7873	gene10520		gene12356	
gene7075	gene7878	gene10550		gene12370	
gene7077	gene7879	gene10559		gene12376	
gene7088	gene7885	gene10636		gene12396	
gene7090	gene7892	gene10642		gene12404	
gene7130	gene7893	gene10657		gene12429	
gene7148	gene7902	gene10684		gene12446	
gene7165	gene7912	gene10692		gene12477	
gene7166	gene7939	gene10693		gene12489	
gene7191	gene7944	gene10713		gene12534	
gene7196	gene7958	gene10723		gene12547	
gene7208	gene7978	gene10767		gene12583	
gene7216	gene7983	gene10781		gene12619	
gene7217	gene7996	gene10787		gene12652	
gene7224	gene7997	gene10798		gene12677	
gene7225	gene8005	gene10818		gene12689	
gene7230	gene8017	gene10850		gene12707	
gene7233	gene8049	gene10882		gene12743	
gene7245	gene8074	gene10911		gene12769	
gene7254	gene8076	gene10920		gene12786	
gene7266	gene8086	gene10952		gene12873	
gene7279	gene8095	gene10965		gene12885	
gene7287	gene8105	gene11006		gene12887	
gene7324	gene8129	gene11080			
gene7336	gene8138	gene11147			
gene7348	gene8149	gene11152			
gene7353	gene8177	gene11199			
gene7368	gene8190	gene11208			
gene7378	gene8191	gene11257			
gene7394	gene8197	gene11274			
gene7401	gene8215	gene11291			
gene7419	gene8219	gene11303			
gene7420	gene8236	gene11340			
gene7448	gene8252	gene11343			
gene7494	gene8259	gene11380			
gene7501	gene8264	gene11395			
gene7527	gene8285	gene11408			
gene7594	gene8297	gene11409			
gene7603	gene8302	gene11411			
gene7604	gene8303	gene11417			
gene7627	gene8317	gene11456			
gene7734	gene8324	gene11483			
gene7750	gene8348	gene11508			
gene7805	gene8355	gene11511			
gene7823	gene8372	gene11516			
gene7853	gene8406	gene11520			
gene7893	gene8414	gene11537			
gene7902	gene8442	gene11566			
gene7912	gene8450	gene11570			
gene7966	gene8487	gene11573			
gene7975	gene8531	gene11593			
gene7978	gene8538	gene11601			
gene7996	gene8610	gene11614			
gene7997	gene8630	gene11628			
gene8000	gene8638	gene11638			
gene8016	gene8641	gene11645			
gene8017	gene8656	gene11690			
gene8048	gene8684	gene11693			
gene8049	gene8691	gene11695			
gene8070	gene8706	gene11719			
gene8074	gene8753	gene11738			
gene8076	gene8773	gene11753			
gene8106	gene8778	gene11754			
gene8144	gene8780	gene11759			
gene8182	gene8787	gene11773			
gene8191	gene8788	gene11834			
gene8215	gene8799	gene11840			
gene8218	gene8849	gene11845			
gene8219	gene8850	gene11907			
gene8245	gene8881	gene11981			
gene8252	gene8892	gene12011			
gene8259	gene8893	gene12017			
gene8264	gene8898	gene12035			
gene8275	gene8909	gene12042			
gene8285	gene8933	gene12052			
gene8293	gene8940	gene12064			
gene8303	gene8941	gene12094			
gene8324	gene8960	gene12105			
gene8329	gene8972	gene12115			
gene8348	gene8974	gene12121			
gene8349	gene9013	gene12160			
gene8442	gene9032	gene12217			
gene8474	gene9061	gene12226			
gene8481	gene9117	gene12236			
gene8487	gene9151	gene12260			
gene8500	gene9153	gene12268			
gene8531	gene9158	gene12272			
gene8541	gene9159	gene12285			
gene8568	gene9160	gene12302			
gene8571	gene9164	gene12356			
gene8630	gene9168	gene12370			
gene8638	gene9196	gene12376			
gene8640	gene9237	gene12396			
gene8641	gene9245	gene12404			
gene8649	gene9280	gene12429			
gene8656	gene9287	gene12438			
gene8683	gene9288	gene12446			
gene8716	gene9301	gene12457			
gene8773	gene9321	gene12477			
gene8778	gene9325	gene12489			
gene8791	gene9354	gene12534			
gene8816	gene9366	gene12547			
gene8833	gene9382	gene12619			
gene8849	gene9398	gene12652			
gene8852	gene9401	gene12677			
gene8871	gene9404	gene12707			
gene8892	gene9442	gene12717			
gene8893	gene9461	gene12718			
gene8900	gene9467	gene12743			
gene8909	gene9475	gene12746			
gene8910	gene9583	gene12757			
gene8925	gene9628	gene12769			
gene8941	gene9664	gene12817			
gene8960	gene9680	gene12822			
gene8974	gene9695	gene12860			
gene8975	gene9704	gene12873			
gene9013	gene9719	gene12887			
gene9032	gene9744				
gene9040	gene9750				
gene9047	gene9754				
gene9061	gene9762				
gene9074	gene9766				
gene9090	gene9788				
gene9112	gene9837				
gene9113	gene9845				
gene9117	gene9857				
gene9153	gene9860				
gene9158	gene9891				
gene9160	gene9907				
gene9164	gene9921				
gene9196	gene9978				
gene9237	gene10033				
gene9287	gene10055				
gene9288	gene10107				
gene9321	gene10206				
gene9327	gene10209				
gene9332	gene10252				
gene9343	gene10276				
gene9354	gene10297				
gene9366	gene10313				
gene9382	gene10318				
gene9398	gene10319				
gene9404	gene10356				
gene9406	gene10362				
gene9407	gene10364				
gene9448	gene10372				
gene9475	gene10381				
gene9486	gene10395				
gene9505	gene10416				
gene9510	gene10436				
gene9515	gene10448				
gene9557	gene10452				
gene9583	gene10454				
gene9602	gene10463				
gene9609	gene10469				
gene9628	gene10489				
gene9671	gene10500				
gene9695	gene10520				
gene9704	gene10550				
gene9744	gene10578				
gene9762	gene10597				
gene9837	gene10629				
gene9845	gene10636				
gene9857	gene10640				
gene9891	gene10657				
gene9907	gene10664				
gene9921	gene10684				
gene9974	gene10692				
gene9978	gene10693				
gene10008	gene10710				
gene10033	gene10723				
gene10055	gene10767				
